Shahrak-e_Shari'ati         Rahahan                     5           3
Rahahan                     Shahrak-e_Shari'ati         5           3
Meydan-e_Hazrat-e_ValiAsr   Mirdamad                    11          3
Mirdamad                    Meydan-e_Hazrat-e_ValiAsr   11          3
Tajrish                     Shahid_Sadr                 4           3
Shahid_Sadr                 Tajrish                     4           3
Tajrish                     Mirdamad                    8           3
Mirdamad                    Tajrish                     8           3
Kouhsar                     Kashani                     10          2
Kashani                     Kouhsar                     10          2
Yadegar-e_Emam              Boostan-e_laleh             8           2
Boostan-e_laleh             Yadegar-e_Emam              8           2
Yadegar-e_Emam              Kashani                     6           2
Boostan-e_laleh             Meydan-e_Hazrat-e_ValiAsr   2           2
Meydan-e_Hazrat-e_ValiAsr   Haftom-e_Tir                2           2
Meydan-e_Hazrat-e_ValiAsr   Boostan-e_laleh             2           2
Haftom-e_Tir                Meydan-e_Hazrat-e_ValiAsr   2           2   
Haftom-e_Tir                Emam_Hossein                5           2
Emam_Hossein                Haftom-e_Tir                5           2
Emam_Hossein                Meydan-e_Shohada            2           2
Meydan-e_Shohada            Emam_Hossein                2           2
Meydan-e_Shohada            Shahid_Rezaei               6           2
Shahid_Rezaei               Meydan-e_Shohada            6           2
Shahid_Rezaei               Haram-e_Hazrat-e_Abdolazim  10          2
Kouhsar                     Kashani                     10          1
Kashani                     Kouhsar                     10          1
Yadegar-e_Emam              Boostan-e_laleh             8           1
Boostan-e_laleh             Yadegar-e_Emam              8           1
Yadegar-e_Emam              Kashani                     6           1
Boostan-e_laleh             Meydan-e_Hazrat-e_ValiAsr   2           1
Meydan-e_Hazrat-e_ValiAsr   Haftom-e_Tir                2           1
Meydan-e_Hazrat-e_ValiAsr   Boostan-e_laleh             2           1
Haftom-e_Tir                Meydan-e_Hazrat-e_ValiAsr   2           1   
Haftom-e_Tir                Emam_Hossein                5           1
Emam_Hossein                Haftom-e_Tir                5           1
Emam_Hossein                Meydan-e_Shohada            2           1
Meydan-e_Shohada            Emam_Hossein                2           1
Meydan-e_Shohada            Shahid_Rezaei               6           1
Shahid_Rezaei               Meydan-e_Shohada            6           1
Shahid_Rezaei               Haram-e_Hazrat-e_Abdolazim  10          1
Bimeh                       Meydan-e_Azadi              3           3
Meydan-e_Azadi              Bimeh                       3           3
Meydan-e_Azadi              Ostad_Mo'in                 4           3
Ostad_Mo'in                 Meydan-e_Azadi              4           3
Ostad_Mo'in                 Meydan-e_Enghelab-e_Eslami  4           3
Meydan-e_Enghelab-e_Eslami  Ostad_Mo'in                 4           3
Meydan-e_Enghelab-e_Eslami  Ferdowsi                    3           3
Ferdowsi                    Meydan-e_Enghelab-e_Eslami  3           3
Ferdowsi                    Darvazeh_Dowlat             1           3
Darvazeh_Dowlat             Ferdowsi                    1           3
Darvazeh_Dowlat             Emam_Hossein                2           3
Emam_Hossein                Darvazeh_Dowlat             2           3
Emam_Hossein                Ebn-e_Sina                  4           3
Ebn-e_Sina                  Emam_Hossein                4           3
Ebn-e_Sina                  Tehran_Pars                 10          3
